archive,when,note
retail_total_sa_nace2.zip,April 2020,"Response rates were lower than usual due to COVID-19 confinement measures. On average the number of responses was 20% lower than usually.
For France, the deterioration of business survey results is likely underestimated due to the non-response completion design used by the French partner institute (INSEE), relying on past answers for non-responding firms."
retail_total_sa_nace2.zip,March 2020,"In most countries, the large majority of survey responses were collected before strict containment measures were enacted to combat the spread of the Corona virus."
retail_total_sa_nace2.zip,February 2020,"All EU aggregates are calculated on the basis of 27 Member States (i.e. excluding the UK, which withdrew from the EU on 31 January 2020).  The historical values of the EU series have been revised accordingly."
retail_total_sa_nace2.zip,January 2019,"Ireland is included in the European aggregates.
The historical values, as well as the country weights, have been revised accordingly.
The country weights used to calculate the EU and the euro-area aggregates were updated."
retail_total_sa_nace2.zip,May 2018,"Past data for Germany for the period 1991 to 2010 were revised, reflecting changes in the aggregation of firm-level data and the inclusion of late responses implemented by the data provider (Ifo institute)."
retail_total_sa_nace2.zip,April 2018,"Past data for Germany were revised back to January 2011, reflecting changes in the aggregation of firm-level data and the inclusion of late responses implemented by the data provider (Ifo institute)."
retail_total_sa_nace2.zip,May 2016,"- Due to a revision of the breakdown by occupation of the respondent as of May 2016, time series corresponding to consumer categories PR0 to PR9 are discontinued until further notice.
- From May 2016 onwards, Statistics Portugal will report and publish the results for the Services, Construction, Industry and Trade surveys based on new samples and sampling frames. 
The new samples are being surveyed since May 2015.  For the backcasting of the series, two samples (old and new) for each survey were collected simultaneously from May 2015 to April 2016. In general, for calculating the backcasted series (balances), the difference between the averages for the common period of the two samples was used. 
- With effect from May 2016, change of partner institutes in the Joint Harmonised EU programme of Business and Consumer Surveys for Ireland and Montenegro. These changes may cause a break in the series."
retail_total_sa_nace2.zip,March 2016,"Correction of discrepancies between ISTAT and DG ECFIN data for the Industry, Services, Building and Retail trade surveys."
retail_total_sa_nace2.zip,November 2015,"- Revision of the Bulgarian data for the five Investment surveys conducted between March/April 2013 and March/April 2015.
- In November 2015, the British partner institute (CBI) updated the sampling weights for the Industry, Investment, Retail and Services surveys in line with changes in officially available data from various UK governmental sources. 
- As of November 2015, the Portuguese consumer data is based on a new sample. For the backcasting of the series, the two samples were collected simultaneously between November 2014 and October 2015."
retail_total_sa_nace2.zip,June 2015,Revision of Romanian Investment survey data between 2011 and 2015
retail_total_sa_nace2.zip,May 2015,"With effect from May 2015, change of partner institutes in the Joint Harmonised EU programme of Business and Consumer Surveys for Turkey and Serbia. These changes may cause a break in the series and impact to some extent also the ESI figures in the above mentioned countries."
retail_total_sa_nace2.zip,January 2015,Lithuania joined the euro area on 1 January 2015 and is included in the EA aggregates.
retail_total_sa_nace2.zip,January 2014,Latvia joined the euro area on 1 January 2014 and is included in the EA aggregates.
retail_total_sa_nace2.zip,July 2013,"For the first time, Croatia is included in the EU aggregate.
The historical values, as well as the country weights, have been revised accordingly."
retail_total_sa_nace2.zip,June 2013,The Italian partner institute (ISTAT) introduced some methodological improvements concerning sampling and survey techniques that could affect data comparability with previous months.
retail_total_sa_nace2.zip,May 2011,"With effect from May 2011, a number of partner institutes in the Joint Harmonised EU programme of Business and Consumer Surveys have changed; Denmark: Services, Retail trade; Spain: Consumers, Services, Retail trade; Portugal: Building. These changes may cause a break in the series and impact to some extent also the ESI figures in the above mentioned countries."
retail_total_sa_nace2.zip,May 2010,"Changeover to NACE Rev. 2, old NACE Rev. 1 sub-sectors 65, 66, 67 become respectively 64, 65, 66 in NACE Rev. 2 nomenclature."
retail_total_sa_nace2.zip,January 2009,"For the first time, Slovakia is included in the euro-area aggregate.
The historical values (since 1985), as well as the country weights, have been revised accordingly.
The country weights used to calculate the EU and the euro-area aggregates were updated."
retail_total_sa_nace2.zip,May 2008,"Change of partner institute in Greece, Spain and Cyprus; this may cause a break in some series of the survey.
Temporary discontinuation of the survey in Ireland.
The data for Q2-2008 in UK is based on fieldwork conducted in the second month of the quarter (one month later than usual)."
retail_total_sa_nace2.zip,January 2008,"For the first time, Cyprus and Malta are included in the euro-area aggregate.
The historical values (since 1985), as well as the country weights, have been revised accordingly.
The country weights used to calculate the EU and the euro-area aggregates were updated."
retail_total_sa_nace2.zip,January 2007,"For the first time, Bulgaria and Romania are included in the EU aggregate, whilst the euro-area aggregate includes Slovenia.
The historical values (since 1985), as well as the country weights, have been revised accordingly."
retail_total_sa_nace2.zip,September 2006,The countries weights used to calculate the EU and the euro area aggregates were updated.
retail_total_sa_nace2.zip,January 2006,The series for Malta are now available.
retail_total_sa_nace2.zip,December 2005,"The series for Italy / question 12 were revised for the period 1985-2005 (plus and minus answers were inverted).
The European aggregates EU and EA were recomputed."
retail_total_sa_nace2.zip,September 2005,Country weights used to calculate the EU and euro area aggregates were updated and the related series were recomputed.
retail_total_sa_nace2.zip,January 2005,All the series are now available with one decimal (not displayed).
retail_total_sa_nace2.zip,September 2004,"All the series are seasonally adjusted for: CY, LV, LT, PL, SK, BG, RO."
retail_total_sa_nace2.zip,May 2004,The EU aggregate is now calculated including the new Member states.
retail_total_sa_nace2.zip,Every January as of 2007,The weighting scheme used to calculate composite indicators and the long-term average are revised in January. This can lead to slight revisions in past data (see User Guide for more information) during that month.
services_total_nsa_nace2.zip,,The following updates have been implemented:
services_total_nsa_nace2.zip,July 2026,Services survey data have been revised for June 2026 for Romania and for January to June 2026 for France (see explanatory note in  Informations rapides - 178 | Insee). These revisions have an impact also on the European aggregates.
services_total_nsa_nace2.zip,May 2026,Business surveys in Malta are temporarily suspended due to changes in partner institutes.
services_total_nsa_nace2.zip,May 2026,Surveys in Estonia are temporarily suspended due to changes in partner institutes.
services_total_nsa_nace2.zip,February 2026,"For periods starting in July 2023, inclusion of Dutch balance results for subsectors that could previously not be displayed due to confidentiality rules applying to the underlying percentage shares of answer options. The inclusion of the new Dutch balances leads to small revisions of the EA and EU aggregate results for concerned subsectors in the period July 2023-Jan 2026."
services_total_nsa_nace2.zip,February 2026,"Portuguese balances for questions Q1, 2, 3, 4, 5 and 6 of the services survey have been revised for the periods 04/2001 to 07/2006 (Q1), 04/2001 to 04/2002 (Q2), 04/2001 to 04/2006 (Q3), 04/2001 to 04/2006 (Q4), 04/2001 to 04/2003 (Q5) and 05/2003 to 12/2004 (Q6). The balances are now in line with the underlying detailed data by answer category."
services_total_nsa_nace2.zip,January 2026,"For the first time, Bulgaria is included in the euro-area aggregate. The historical values have been revised accordingly. Moreover, as in every January, the country weights used to calculate all EU and the euro-area aggregates were updated."
services_total_nsa_nace2.zip,March 2025,Publication of business and consumer survey results for Ireland (IE) is resumed. Consistent time series for 39 monthly balances and 2 quarterly series on capacity utilisation have been restored based on new data collected since August 2024 and regression analysis. See methodological note on the BCS website for details. Re-inclusion of IE data has a small impact also on the EU and EA results.
services_total_nsa_nace2.zip,October 2024,"Surveys for Spain in services, retail trade and among consumers are temporarily suspended."
services_total_nsa_nace2.zip,July 2024,Monthly question Q4 was withdrawn from dissemination.
services_total_nsa_nace2.zip,April 2024,The methodology for calculating capacity utilisation in the Dutch services sector changed to make the data more comparable to those of the industry survey. The change applies retrospectively to the whole period available and to all sectoral series. It implies a small upward shift of the data with a proportional impact on the EU/EA aggregates.
services_total_nsa_nace2.zip,January 2024,The country weights used to calculate the EU and the euro-area aggregates were updated
services_total_nsa_nace2.zip,January 2024,Update of business survey weights for Italy: value added referring to 2021 instead of 2012 is used for the aggregation of division data from January 2021 onwards. This has an impact also on the EU/EA aggregates.
services_total_nsa_nace2.zip,February 2023,Temporary discontinuation of the surveys in Ireland
services_total_nsa_nace2.zip,January 2023,"For the first time, Croatia is included in the euro-area aggregate.
The historical values (since 1985), as well as the country weights, have been revised accordingly.
The country weights used to calculate the EU and the euro-area aggregates were updated."
services_total_nsa_nace2.zip,May 2022,"Following the introduction of a new sampling method and weighting procedure, time-series related to the Portuguese building, services, retail trade and industrial survey has been backcasted."
services_total_nsa_nace2.zip,April 2022,"Due to a change of the seasonal adjustment method, all seasonally-adjusted survey results have been revised."
services_total_nsa_nace2.zip,January 2022,The country weights used to calculate the EU and the euro-area aggregates were updated
services_total_nsa_nace2.zip,October 2021,Correction of Netherlands and Portugal services survey results (Q7) for July 2021 and for the period January 2020-July 2021 respectively.
services_total_nsa_nace2.zip,August 2021,Correction of Czech services survey results for July 2021.
services_total_nsa_nace2.zip,January 2021,The country weights used to calculate the EU and the euro-area aggregates were updated.
services_total_nsa_nace2.zip,May 2020,"French business survey data for April were significantly revised compared to the original release, owing to a methodological amendment of the treatment of non-response in April."
services_total_nsa_nace2.zip,April 2020,"Response rates were lower than usual due to COVID-19 confinement measures. On average the number of responses was 20% lower than usually.
For France, the deterioration of business survey results is likely underestimated due to the non-response completion design used by the French partner institute (INSEE), relying on past answers for non-responding firms."
services_total_nsa_nace2.zip,March 2020,"In most countries, the large majority of survey responses were collected before strict containment measures were enacted to combat the spread of the Corona virus."
services_total_nsa_nace2.zip,February 2020,"All EU aggregates are calculated on the basis of 27 Member States (i.e. excluding the UK, which withdrew from the EU on 31 January 2020).  The historical values of the EU series have been revised accordingly."
services_total_nsa_nace2.zip,January 2019,"Ireland is included in the European aggregates.
The historical values, as well as the country weights, have been revised accordingly.
The country weights used to calculate the EU and the euro-area aggregates were updated."
services_total_nsa_nace2.zip,May 2018,"Past data for Germany for the period 1991 to 2010 were revised, reflecting changes in the aggregation of firm-level data and the inclusion of late responses implemented by the data provider (Ifo institute)."
services_total_nsa_nace2.zip,April 2018,"Past data for Germany were revised back to January 2011, reflecting changes in the aggregation of firm-level data and the inclusion of late responses implemented by the data provider (Ifo institute)."
services_total_nsa_nace2.zip,April 2017,"Revision of Italian data for services between June 2013 (July 2013 in the case of quarterly series) to March 2017 (January 2017 in the case of quarterly series), due to the inclusion of the sub-sectors 75 and 90 to 96.
Also correction of Italian data for question Q8 in the services survey between January 2010 to April 2013."
services_total_nsa_nace2.zip,June 2016,"Correction of French data for the services survey between January 2013 and May 2016, with significant revisions mostly for three NACE2 sub-sectors (56, 68 et 96), in the aim of stabilising the sectoral classification of enterprises."
services_total_nsa_nace2.zip,May 2016,"- Due to a revision of the breakdown by occupation of the respondent as of May 2016, time series corresponding to consumer categories PR0 to PR9 are discontinued until further notice.
- From May 2016 onwards, Statistics Portugal will report and publish the results for the Services, Construction, Industry and Trade surveys based on new samples and sampling frames. 
The new samples are being surveyed since May 2015.  For the backcasting of the series, two samples (old and new) for each survey were collected simultaneously from May 2015 to April 2016. In general, for calculating the backcasted series (balances), the difference between the averages for the common period of the two samples was used. 
- With effect from May 2016, change of partner institutes in the Joint Harmonised EU programme of Business and Consumer Surveys for Ireland and Montenegro. These changes may cause a break in the series."
services_total_nsa_nace2.zip,March 2016,"Correction of discrepancies between ISTAT and DG ECFIN data for the Industry, Services, Building and Retail trade surveys."
services_total_nsa_nace2.zip,November 2015,"- Revision of the Bulgarian data for the five Investment surveys conducted between March/April 2013 and March/April 2015.
- In November 2015, the British partner institute (CBI) updated the sampling weights for the Industry, Investment, Retail and Services surveys in line with changes in officially available data from various UK governmental sources. 
- As of November 2015, the Portuguese consumer data is based on a new sample. For the backcasting of the series, the two samples were collected simultaneously between November 2014 and October 2015."
services_total_nsa_nace2.zip,June 2015,Revision of Romanian Investment survey data between 2011 and 2015
services_total_nsa_nace2.zip,May 2015,"With effect from May 2015, change of partner institutes in the Joint Harmonised EU programme of Business and Consumer Surveys for Turkey and Serbia. These changes may cause a break in the series and impact to some extent also the ESI figures in the above mentioned countries."
services_total_nsa_nace2.zip,January 2015,Lithuania joined the euro area on 1 January 2015 and is included in the EA aggregates.
services_total_nsa_nace2.zip,January 2014,Latvia joined the euro area on 1 January 2014 and is included in the EA aggregates.
services_total_nsa_nace2.zip,July 2013,"For the first time, Croatia is included in the EU aggregate.
The historical values, as well as the country weights, have been revised accordingly."
services_total_nsa_nace2.zip,June 2013,The Italian partner institute (ISTAT) introduced some methodological improvements concerning sampling and survey techniques that could affect data comparability with previous months.
services_total_nsa_nace2.zip,February 2013,"German services data have been revised to be fully in line with the NACE rev.2 statistical classification of economic activities. This implies revisions of previous data also for the EU/euro-area services confidence indicator and the German, EU and euro-area ESI."
services_total_nsa_nace2.zip,May 2011,"With effect from May 2011, a number of partner institutes in the Joint Harmonised EU programme of Business and Consumer Surveys have changed; Denmark: Services, Retail trade; Spain: Consumers, Services, Retail trade; Portugal: Building. These changes may cause a break in the series and impact to some extent also the ESI figures in the above mentioned countries."
services_total_nsa_nace2.zip,May 2010,"Changeover to NACE Rev. 2, old NACE Rev. 1 sub-sectors 65, 66, 67 become respectively 64, 65, 66 in NACE Rev. 2 nomenclature."
services_total_nsa_nace2.zip,January 2009,"For the first time, Slovakia is included in the euro-area aggregate.
The historical values (since 1985), as well as the country weights, have been revised accordingly.
The country weights used to calculate the EU and the euro-area aggregates were updated."
services_total_nsa_nace2.zip,May 2008,"Change of partner institute in Greece, Spain and Cyprus; this may cause a break in some series of the survey.
Temporary discontinuation of the survey in Ireland.
The data for Q2-2008 in UK is based on fieldwork conducted in the second month of the quarter (one month later than usual)."
services_total_nsa_nace2.zip,January 2008,"For the first time, Cyprus and Malta are included in the euro-area aggregate.
The historical values (since 1985), as well as the country weights, have been revised accordingly.
The country weights used to calculate the EU and the euro-area aggregates were updated."
services_total_nsa_nace2.zip,January 2007,"For the first time, Bulgaria and Romania are included in the EU aggregate, whilst the euro-area aggregate includes Slovenia.
The historical values (since 1985), as well as the country weights, have been revised accordingly."
services_total_nsa_nace2.zip,September 2006,The countries weights used to calculate the EU and the euro area aggregates were updated.
services_total_nsa_nace2.zip,January 2006,The series for Malta are now available.
services_total_nsa_nace2.zip,December 2005,"The series for Italy / question 12 were revised for the period 1985-2005 (plus and minus answers were inverted).
The European aggregates EU and EA were recomputed."
services_total_nsa_nace2.zip,September 2005,Country weights used to calculate the EU and euro area aggregates were updated and the related series were recomputed.
services_total_nsa_nace2.zip,January 2005,All the series are now available with one decimal (not displayed).
services_total_nsa_nace2.zip,September 2004,"All the series are seasonally adjusted for: CY, LV, LT, PL, SK, BG, RO."
services_total_nsa_nace2.zip,May 2004,The EU aggregate is now calculated including the new Member states.
services_total_nsa_nace2.zip,Every January as of 2007,The weighting scheme used to calculate composite indicators and the long-term average are revised in January. This can lead to slight revisions in past data (see User Guide for more information) during that month.
services_total_sa_nace2.zip,,The following updates have been implemented:
services_total_sa_nace2.zip,July 2026,Services survey data have been revised for June 2026 for Romania and for January to June 2026 for France (see explanatory note in  Informations rapides - 178 | Insee). These revisions have an impact also on the European aggregates.
services_total_sa_nace2.zip,May 2026,Business surveys in Malta are temporarily suspended due to changes in partner institutes.
services_total_sa_nace2.zip,May 2026,Surveys in Estonia are temporarily suspended due to changes in partner institutes.
services_total_sa_nace2.zip,February 2026,"For periods starting in July 2023, inclusion of Dutch balance results for subsectors that could previously not be displayed due to confidentiality rules applying to the underlying percentage shares of answer options. The inclusion of the new Dutch balances leads to small revisions of the EA and EU aggregate results for concerned subsectors in the period July 2023-Jan 2026."
services_total_sa_nace2.zip,February 2026,"Portuguese balances for questions Q1, 2, 3, 4, 5 and 6 of the services survey have been revised for the periods 04/2001 to 07/2006 (Q1), 04/2001 to 04/2002 (Q2), 04/2001 to 04/2006 (Q3), 04/2001 to 04/2006 (Q4), 04/2001 to 04/2003 (Q5) and 05/2003 to 12/2004 (Q6). The balances are now in line with the underlying detailed data by answer category."
services_total_sa_nace2.zip,January 2026,"For the first time, Bulgaria is included in the euro-area aggregate. The historical values have been revised accordingly. Moreover, as in every January, the country weights used to calculate all EU and the euro-area aggregates were updated."
services_total_sa_nace2.zip,March 2025,Publication of business and consumer survey results for Ireland (IE) is resumed. Consistent time series for 39 monthly balances and 2 quarterly series on capacity utilisation have been restored based on new data collected since August 2024 and regression analysis. See methodological note on the BCS website for details. Re-inclusion of IE data has a small impact also on the EU and EA results.
services_total_sa_nace2.zip,October 2024,"Surveys for Spain in services, retail trade and among consumers are temporarily suspended."
services_total_sa_nace2.zip,July 2024,Monthly question Q4 was withdrawn from dissemination.
services_total_sa_nace2.zip,April 2024,The methodology for calculating capacity utilisation in the Dutch services sector changed to make the data more comparable to those of the industry survey. The change applies retrospectively to the whole period available and to all sectoral series. It implies a small upward shift of the data with a proportional impact on the EU/EA aggregates.
services_total_sa_nace2.zip,January 2024,The country weights used to calculate the EU and the euro-area aggregates were updated
services_total_sa_nace2.zip,January 2024,Update of business survey weights for Italy: value added referring to 2021 instead of 2012 is used for the aggregation of division data from January 2021 onwards. This has an impact also on the EU/EA aggregates.
services_total_sa_nace2.zip,February 2023,Temporary discontinuation of the surveys in Ireland
services_total_sa_nace2.zip,January 2023,"For the first time, Croatia is included in the euro-area aggregate.
The historical values (since 1985), as well as the country weights, have been revised accordingly.
The country weights used to calculate the EU and the euro-area aggregates were updated."
services_total_sa_nace2.zip,May 2022,"Following the introduction of a new sampling method and weighting procedure, time-series related to the Portuguese building, services, retail trade and industrial survey has been backcasted."
services_total_sa_nace2.zip,April 2022,"Due to a change of the seasonal adjustment method, all seasonally-adjusted survey results have been revised."
services_total_sa_nace2.zip,January 2022,The country weights used to calculate the EU and the euro-area aggregates were updated
services_total_sa_nace2.zip,October 2021,Correction of Netherlands and Portugal services survey results (Q7) for July 2021 and for the period January 2020-July 2021 respectively.
services_total_sa_nace2.zip,August 2021,Correction of Czech services survey results for July 2021.
services_total_sa_nace2.zip,January 2021,The country weights used to calculate the EU and the euro-area aggregates were updated.
services_total_sa_nace2.zip,May 2020,"French business survey data for April were significantly revised compared to the original release, owing to a methodological amendment of the treatment of non-response in April."
services_total_sa_nace2.zip,April 2020,"Response rates were lower than usual due to COVID-19 confinement measures. On average the number of responses was 20% lower than usually.
For France, the deterioration of business survey results is likely underestimated due to the non-response completion design used by the French partner institute (INSEE), relying on past answers for non-responding firms."
services_total_sa_nace2.zip,March 2020,"In most countries, the large majority of survey responses were collected before strict containment measures were enacted to combat the spread of the Corona virus."
services_total_sa_nace2.zip,February 2020,"All EU aggregates are calculated on the basis of 27 Member States (i.e. excluding the UK, which withdrew from the EU on 31 January 2020).  The historical values of the EU series have been revised accordingly."
services_total_sa_nace2.zip,January 2019,"Ireland is included in the European aggregates.
The historical values, as well as the country weights, have been revised accordingly.
The country weights used to calculate the EU and the euro-area aggregates were updated."
services_total_sa_nace2.zip,May 2018,"Past data for Germany for the period 1991 to 2010 were revised, reflecting changes in the aggregation of firm-level data and the inclusion of late responses implemented by the data provider (Ifo institute)."
services_total_sa_nace2.zip,April 2018,"Past data for Germany were revised back to January 2011, reflecting changes in the aggregation of firm-level data and the inclusion of late responses implemented by the data provider (Ifo institute)."
services_total_sa_nace2.zip,April 2017,"Revision of Italian data for services between June 2013 (July 2013 in the case of quarterly series) to March 2017 (January 2017 in the case of quarterly series), due to the inclusion of the sub-sectors 75 and 90 to 96.
Also correction of Italian data for question Q8 in the services survey between January 2010 to April 2013."
services_total_sa_nace2.zip,June 2016,"Correction of French data for the services survey between January 2013 and May 2016, with significant revisions mostly for three NACE2 sub-sectors (56, 68 et 96), in the aim of stabilising the sectoral classification of enterprises."
services_total_sa_nace2.zip,May 2016,"- Due to a revision of the breakdown by occupation of the respondent as of May 2016, time series corresponding to consumer categories PR0 to PR9 are discontinued until further notice.
- From May 2016 onwards, Statistics Portugal will report and publish the results for the Services, Construction, Industry and Trade surveys based on new samples and sampling frames. 
The new samples are being surveyed since May 2015.  For the backcasting of the series, two samples (old and new) for each survey were collected simultaneously from May 2015 to April 2016. In general, for calculating the backcasted series (balances), the difference between the averages for the common period of the two samples was used. 
- With effect from May 2016, change of partner institutes in the Joint Harmonised EU programme of Business and Consumer Surveys for Ireland and Montenegro. These changes may cause a break in the series."
services_total_sa_nace2.zip,March 2016,"Correction of discrepancies between ISTAT and DG ECFIN data for the Industry, Services, Building and Retail trade surveys."
services_total_sa_nace2.zip,November 2015,"- Revision of the Bulgarian data for the five Investment surveys conducted between March/April 2013 and March/April 2015.
- In November 2015, the British partner institute (CBI) updated the sampling weights for the Industry, Investment, Retail and Services surveys in line with changes in officially available data from various UK governmental sources. 
- As of November 2015, the Portuguese consumer data is based on a new sample. For the backcasting of the series, the two samples were collected simultaneously between November 2014 and October 2015."
services_total_sa_nace2.zip,June 2015,Revision of Romanian Investment survey data between 2011 and 2015
services_total_sa_nace2.zip,May 2015,"With effect from May 2015, change of partner institutes in the Joint Harmonised EU programme of Business and Consumer Surveys for Turkey and Serbia. These changes may cause a break in the series and impact to some extent also the ESI figures in the above mentioned countries."
services_total_sa_nace2.zip,January 2015,Lithuania joined the euro area on 1 January 2015 and is included in the EA aggregates.
services_total_sa_nace2.zip,January 2014,Latvia joined the euro area on 1 January 2014 and is included in the EA aggregates.
services_total_sa_nace2.zip,July 2013,"For the first time, Croatia is included in the EU aggregate.
The historical values, as well as the country weights, have been revised accordingly."
services_total_sa_nace2.zip,June 2013,The Italian partner institute (ISTAT) introduced some methodological improvements concerning sampling and survey techniques that could affect data comparability with previous months.
services_total_sa_nace2.zip,February 2013,"German services data have been revised to be fully in line with the NACE rev.2 statistical classification of economic activities. This implies revisions of previous data also for the EU/euro-area services confidence indicator and the German, EU and euro-area ESI."
services_total_sa_nace2.zip,May 2011,"With effect from May 2011, a number of partner institutes in the Joint Harmonised EU programme of Business and Consumer Surveys have changed; Denmark: Services, Retail trade; Spain: Consumers, Services, Retail trade; Portugal: Building. These changes may cause a break in the series and impact to some extent also the ESI figures in the above mentioned countries."
services_total_sa_nace2.zip,May 2010,"Changeover to NACE Rev. 2, old NACE Rev. 1 sub-sectors 65, 66, 67 become respectively 64, 65, 66 in NACE Rev. 2 nomenclature."
services_total_sa_nace2.zip,January 2009,"For the first time, Slovakia is included in the euro-area aggregate.
The historical values (since 1985), as well as the country weights, have been revised accordingly.
The country weights used to calculate the EU and the euro-area aggregates were updated."
services_total_sa_nace2.zip,May 2008,"Change of partner institute in Greece, Spain and Cyprus; this may cause a break in some series of the survey.
Temporary discontinuation of the survey in Ireland.
The data for Q2-2008 in UK is based on fieldwork conducted in the second month of the quarter (one month later than usual)."
services_total_sa_nace2.zip,January 2008,"For the first time, Cyprus and Malta are included in the euro-area aggregate.
The historical values (since 1985), as well as the country weights, have been revised accordingly.
The country weights used to calculate the EU and the euro-area aggregates were updated."
services_total_sa_nace2.zip,January 2007,"For the first time, Bulgaria and Romania are included in the EU aggregate, whilst the euro-area aggregate includes Slovenia.
The historical values (since 1985), as well as the country weights, have been revised accordingly."
services_total_sa_nace2.zip,September 2006,The countries weights used to calculate the EU and the euro area aggregates were updated.
services_total_sa_nace2.zip,January 2006,The series for Malta are now available.
services_total_sa_nace2.zip,December 2005,"The series for Italy / question 12 were revised for the period 1985-2005 (plus and minus answers were inverted).
The European aggregates EU and EA were recomputed."
services_total_sa_nace2.zip,September 2005,Country weights used to calculate the EU and euro area aggregates were updated and the related series were recomputed.
services_total_sa_nace2.zip,January 2005,All the series are now available with one decimal (not displayed).
services_total_sa_nace2.zip,September 2004,"All the series are seasonally adjusted for: CY, LV, LT, PL, SK, BG, RO."
services_total_sa_nace2.zip,May 2004,The EU aggregate is now calculated including the new Member states.
services_total_sa_nace2.zip,Every January as of 2007,The weighting scheme used to calculate composite indicators and the long-term average are revised in January. This can lead to slight revisions in past data (see User Guide for more information) during that month.
